nohup: ignoring input
/global/cfs/cdirs/m4555/Jun/mattersim-LR/src/mattersim/__version__.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
[32m2025-11-11 19:41:51.198[0m | [1mINFO    [0m | [36mmattersim.forcefield.potential[0m:[36mfrom_checkpoint[0m:[36m905[0m - [1mLoading the model from ../hard_const/results/best_model.pth[0m
Step: 5320, Temperature: 276.50 K, Total Energy: -30033.850619 eV
Step: 5340, Temperature: 299.68 K, Total Energy: -30033.664132 eV
Step: 5360, Temperature: 291.09 K, Total Energy: -30033.402815 eV
Step: 5380, Temperature: 284.22 K, Total Energy: -30033.733277 eV
Step: 5400, Temperature: 287.62 K, Total Energy: -30033.662727 eV
Step: 5420, Temperature: 298.43 K, Total Energy: -30033.614998 eV
Step: 5440, Temperature: 283.71 K, Total Energy: -30034.245912 eV
Step: 5460, Temperature: 273.37 K, Total Energy: -30034.131487 eV
Step: 5480, Temperature: 288.91 K, Total Energy: -30033.906050 eV
Step: 5500, Temperature: 285.21 K, Total Energy: -30034.210869 eV
Step: 5520, Temperature: 280.14 K, Total Energy: -30033.889265 eV
Step: 5540, Temperature: 278.46 K, Total Energy: -30033.889990 eV
Step: 5560, Temperature: 309.21 K, Total Energy: -30033.763567 eV
Step: 5580, Temperature: 291.52 K, Total Energy: -30033.473985 eV
Step: 5600, Temperature: 293.61 K, Total Energy: -30033.396885 eV
Step: 5620, Temperature: 293.71 K, Total Energy: -30033.470507 eV
Step: 5640, Temperature: 313.13 K, Total Energy: -30033.072400 eV
Step: 5660, Temperature: 299.10 K, Total Energy: -30032.873850 eV
Step: 5680, Temperature: 308.39 K, Total Energy: -30032.760343 eV
Step: 5700, Temperature: 291.38 K, Total Energy: -30032.288142 eV
Step: 5720, Temperature: 331.09 K, Total Energy: -30032.339702 eV
Step: 5740, Temperature: 280.11 K, Total Energy: -30032.634141 eV
Step: 5760, Temperature: 303.10 K, Total Energy: -30032.344977 eV
Step: 5780, Temperature: 292.44 K, Total Energy: -30032.300834 eV
Step: 5800, Temperature: 329.75 K, Total Energy: -30032.261677 eV
Step: 5820, Temperature: 304.56 K, Total Energy: -30032.789217 eV
Step: 5840, Temperature: 309.08 K, Total Energy: -30032.903621 eV
Step: 5860, Temperature: 305.38 K, Total Energy: -30033.057872 eV
Step: 5880, Temperature: 311.97 K, Total Energy: -30033.118826 eV
Step: 5900, Temperature: 281.46 K, Total Energy: -30033.506876 eV
Step: 5920, Temperature: 316.39 K, Total Energy: -30033.559900 eV
Step: 5940, Temperature: 307.50 K, Total Energy: -30033.298284 eV
Step: 5960, Temperature: 297.10 K, Total Energy: -30033.122646 eV
Step: 5980, Temperature: 301.29 K, Total Energy: -30033.350680 eV
Step: 6000, Temperature: 293.07 K, Total Energy: -30033.463000 eV
Step: 6020, Temperature: 305.28 K, Total Energy: -30033.347503 eV
Step: 6040, Temperature: 290.95 K, Total Energy: -30033.617078 eV
Step: 6060, Temperature: 317.30 K, Total Energy: -30033.260163 eV
Step: 6080, Temperature: 284.82 K, Total Energy: -30033.152152 eV
Step: 6100, Temperature: 302.84 K, Total Energy: -30033.099353 eV
Step: 6120, Temperature: 287.90 K, Total Energy: -30033.278873 eV
Step: 6140, Temperature: 308.15 K, Total Energy: -30033.162822 eV
Step: 6160, Temperature: 294.74 K, Total Energy: -30033.032917 eV
Step: 6180, Temperature: 332.46 K, Total Energy: -30032.514751 eV
Step: 6200, Temperature: 288.74 K, Total Energy: -30033.326296 eV
Step: 6220, Temperature: 296.46 K, Total Energy: -30033.841626 eV
Step: 6240, Temperature: 272.86 K, Total Energy: -30033.880532 eV
Step: 6260, Temperature: 294.23 K, Total Energy: -30033.774089 eV
Step: 6280, Temperature: 286.80 K, Total Energy: -30033.915402 eV
Step: 6300, Temperature: 292.44 K, Total Energy: -30034.150331 eV
Step: 6320, Temperature: 281.14 K, Total Energy: -30034.581321 eV
Step: 6340, Temperature: 266.83 K, Total Energy: -30034.692327 eV
Step: 6360, Temperature: 287.00 K, Total Energy: -30034.287303 eV
Step: 6380, Temperature: 298.82 K, Total Energy: -30033.826076 eV
Step: 6400, Temperature: 264.09 K, Total Energy: -30033.855892 eV
Step: 6420, Temperature: 292.25 K, Total Energy: -30033.913031 eV
Step: 6440, Temperature: 270.82 K, Total Energy: -30034.091285 eV
Step: 6460, Temperature: 270.85 K, Total Energy: -30033.836764 eV
Step: 6480, Temperature: 261.02 K, Total Energy: -30033.805148 eV
Step: 6500, Temperature: 285.35 K, Total Energy: -30033.834254 eV
Step: 6520, Temperature: 272.24 K, Total Energy: -30033.995432 eV
Step: 6540, Temperature: 293.82 K, Total Energy: -30033.340863 eV
Step: 6560, Temperature: 279.37 K, Total Energy: -30033.875212 eV
Step: 6580, Temperature: 276.16 K, Total Energy: -30033.784927 eV
Step: 6600, Temperature: 288.53 K, Total Energy: -30033.946831 eV
Step: 6620, Temperature: 277.90 K, Total Energy: -30033.525098 eV
Step: 6640, Temperature: 257.57 K, Total Energy: -30034.246402 eV
Step: 6660, Temperature: 242.33 K, Total Energy: -30034.155868 eV
Step: 6680, Temperature: 269.20 K, Total Energy: -30033.744861 eV
Step: 6700, Temperature: 279.71 K, Total Energy: -30033.558203 eV
Step: 6720, Temperature: 284.63 K, Total Energy: -30033.785795 eV
Step: 6740, Temperature: 275.34 K, Total Energy: -30033.625620 eV
Step: 6760, Temperature: 276.29 K, Total Energy: -30033.219134 eV
Step: 6780, Temperature: 289.00 K, Total Energy: -30033.341328 eV
Step: 6800, Temperature: 305.67 K, Total Energy: -30032.622890 eV
Step: 6820, Temperature: 334.59 K, Total Energy: -30032.567332 eV
Step: 6840, Temperature: 303.90 K, Total Energy: -30032.676549 eV
Step: 6860, Temperature: 315.96 K, Total Energy: -30032.840076 eV
Step: 6880, Temperature: 292.76 K, Total Energy: -30033.146461 eV
Step: 6900, Temperature: 306.54 K, Total Energy: -30032.739993 eV
Step: 6920, Temperature: 296.41 K, Total Energy: -30032.315551 eV
Step: 6940, Temperature: 305.00 K, Total Energy: -30032.151183 eV
Step: 6960, Temperature: 332.75 K, Total Energy: -30031.607165 eV
Step: 6980, Temperature: 312.64 K, Total Energy: -30031.838596 eV
Step: 7000, Temperature: 341.05 K, Total Energy: -30031.850282 eV
