nohup: ignoring input
/global/cfs/cdirs/m4555/Jun/mattersim-LR/src/mattersim/__version__.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
[32m2025-11-11 20:49:32.229[0m | [1mINFO    [0m | [36mmattersim.forcefield.potential[0m:[36mfrom_checkpoint[0m:[36m908[0m - [1mLoading the model from ../../baseline/results/best_model.pth[0m
Step: 6040, Temperature: 324.49 K, Total Energy: -30032.715505 eV
Step: 6060, Temperature: 304.86 K, Total Energy: -30032.718070 eV
Step: 6080, Temperature: 299.59 K, Total Energy: -30032.698573 eV
Step: 6100, Temperature: 278.40 K, Total Energy: -30033.164404 eV
Step: 6120, Temperature: 295.85 K, Total Energy: -30033.085902 eV
Step: 6140, Temperature: 308.45 K, Total Energy: -30033.151168 eV
Step: 6160, Temperature: 297.41 K, Total Energy: -30033.413736 eV
Step: 6180, Temperature: 294.10 K, Total Energy: -30033.520591 eV
Step: 6200, Temperature: 290.25 K, Total Energy: -30033.865758 eV
Step: 6220, Temperature: 271.81 K, Total Energy: -30033.648829 eV
Step: 6240, Temperature: 287.44 K, Total Energy: -30033.489349 eV
Step: 6260, Temperature: 297.47 K, Total Energy: -30033.244137 eV
Step: 6280, Temperature: 302.42 K, Total Energy: -30033.537554 eV
Step: 6300, Temperature: 301.76 K, Total Energy: -30034.276638 eV
Step: 6320, Temperature: 288.89 K, Total Energy: -30034.013242 eV
Step: 6340, Temperature: 310.09 K, Total Energy: -30033.463308 eV
Step: 6360, Temperature: 292.00 K, Total Energy: -30034.239545 eV
Step: 6380, Temperature: 279.74 K, Total Energy: -30033.823841 eV
Step: 6400, Temperature: 290.61 K, Total Energy: -30034.475856 eV
Step: 6420, Temperature: 270.41 K, Total Energy: -30034.838546 eV
Step: 6440, Temperature: 308.56 K, Total Energy: -30034.021395 eV
Step: 6460, Temperature: 297.87 K, Total Energy: -30033.327953 eV
Step: 6480, Temperature: 318.29 K, Total Energy: -30033.717561 eV
Step: 6500, Temperature: 291.11 K, Total Energy: -30033.553078 eV
Step: 6520, Temperature: 278.46 K, Total Energy: -30033.483109 eV
Step: 6540, Temperature: 296.85 K, Total Energy: -30033.322409 eV
Step: 6560, Temperature: 313.38 K, Total Energy: -30032.972140 eV
Step: 6580, Temperature: 315.64 K, Total Energy: -30033.083208 eV
Step: 6600, Temperature: 309.40 K, Total Energy: -30033.154468 eV
Step: 6620, Temperature: 320.45 K, Total Energy: -30033.012710 eV
Step: 6640, Temperature: 322.68 K, Total Energy: -30032.860830 eV
Step: 6660, Temperature: 309.12 K, Total Energy: -30032.735663 eV
Step: 6680, Temperature: 312.70 K, Total Energy: -30033.491278 eV
Step: 6700, Temperature: 298.74 K, Total Energy: -30033.208334 eV
Step: 6720, Temperature: 277.42 K, Total Energy: -30033.476290 eV
Step: 6740, Temperature: 294.72 K, Total Energy: -30033.555755 eV
Step: 6760, Temperature: 301.66 K, Total Energy: -30033.476455 eV
Step: 6780, Temperature: 275.01 K, Total Energy: -30033.714655 eV
Step: 6800, Temperature: 305.46 K, Total Energy: -30033.351470 eV
Step: 6820, Temperature: 297.63 K, Total Energy: -30033.373012 eV
Step: 6840, Temperature: 286.54 K, Total Energy: -30034.115358 eV
Step: 6860, Temperature: 294.68 K, Total Energy: -30034.123176 eV
Step: 6880, Temperature: 308.11 K, Total Energy: -30033.315784 eV
Step: 6900, Temperature: 297.57 K, Total Energy: -30033.026839 eV
Step: 6920, Temperature: 283.05 K, Total Energy: -30033.549031 eV
Step: 6940, Temperature: 315.00 K, Total Energy: -30033.382582 eV
Step: 6960, Temperature: 284.56 K, Total Energy: -30033.024689 eV
Step: 6980, Temperature: 311.81 K, Total Energy: -30033.275491 eV
Step: 7000, Temperature: 300.74 K, Total Energy: -30032.767196 eV
Step: 7020, Temperature: 323.33 K, Total Energy: -30032.490964 eV
Step: 7040, Temperature: 305.67 K, Total Energy: -30032.953577 eV
Step: 7060, Temperature: 263.90 K, Total Energy: -30034.221370 eV
Step: 7080, Temperature: 278.58 K, Total Energy: -30034.331818 eV
Step: 7100, Temperature: 297.45 K, Total Energy: -30034.256382 eV
Step: 7120, Temperature: 274.35 K, Total Energy: -30034.135488 eV
Step: 7140, Temperature: 276.27 K, Total Energy: -30034.151549 eV
Step: 7160, Temperature: 284.60 K, Total Energy: -30033.887123 eV
Step: 7180, Temperature: 287.34 K, Total Energy: -30033.923316 eV
Step: 7200, Temperature: 276.58 K, Total Energy: -30034.077328 eV
Step: 7220, Temperature: 279.30 K, Total Energy: -30034.639756 eV
Step: 7240, Temperature: 273.39 K, Total Energy: -30034.620720 eV
Step: 7260, Temperature: 274.63 K, Total Energy: -30034.925496 eV
