nohup: ignoring input
/global/cfs/cdirs/m4555/Jun/mattersim-LR/src/mattersim/__version__.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
[32m2025-11-11 20:42:02.699[0m | [1mINFO    [0m | [36mmattersim.forcefield.potential[0m:[36mfrom_checkpoint[0m:[36m908[0m - [1mLoading the model from ../hard_const/results/best_model.pth[0m
Step: 6600, Temperature: 318.73 K, Total Energy: -30034.290489 eV
Step: 6620, Temperature: 313.69 K, Total Energy: -30034.089231 eV
Step: 6640, Temperature: 329.26 K, Total Energy: -30033.729999 eV
Step: 6660, Temperature: 297.88 K, Total Energy: -30033.456487 eV
Step: 6680, Temperature: 303.79 K, Total Energy: -30033.711813 eV
Step: 6700, Temperature: 303.39 K, Total Energy: -30034.061794 eV
Step: 6720, Temperature: 293.72 K, Total Energy: -30033.834991 eV
Step: 6740, Temperature: 310.51 K, Total Energy: -30034.337326 eV
Step: 6760, Temperature: 328.32 K, Total Energy: -30034.339738 eV
Step: 6780, Temperature: 304.53 K, Total Energy: -30034.443375 eV
Step: 6800, Temperature: 290.50 K, Total Energy: -30034.802784 eV
Step: 6820, Temperature: 289.90 K, Total Energy: -30034.931125 eV
Step: 6840, Temperature: 310.22 K, Total Energy: -30034.860436 eV
Step: 6860, Temperature: 303.90 K, Total Energy: -30034.824292 eV
Step: 6880, Temperature: 298.84 K, Total Energy: -30034.274189 eV
Step: 6900, Temperature: 285.01 K, Total Energy: -30034.443018 eV
Step: 6920, Temperature: 284.28 K, Total Energy: -30034.580675 eV
Step: 6940, Temperature: 285.64 K, Total Energy: -30034.677101 eV
Step: 6960, Temperature: 304.78 K, Total Energy: -30034.765111 eV
Step: 6980, Temperature: 269.87 K, Total Energy: -30035.027730 eV
Step: 7000, Temperature: 303.83 K, Total Energy: -30034.880722 eV
Step: 7020, Temperature: 312.52 K, Total Energy: -30034.749714 eV
Step: 7040, Temperature: 289.42 K, Total Energy: -30034.837820 eV
Step: 7060, Temperature: 296.44 K, Total Energy: -30034.987110 eV
